,predicted
14.0,cd4 naive
13.0,cd4- mait/nkt
19.0,cd4-cd8-gd t cells
20.0,cd4 naive
14.0,cd4 naive
20.0,unknown
12.0,unknown
10.0,cd8 effector memory
14.0,cd4 naive
18.0,cd4- mait/nkt
20.0,cd4-cd8-gd t cells
4.0,non-classical monocytes
10.0,cd8 naive
2.0,classical monocytes
7.0,late nks
7.0,late nks
6.0,early nks
16.0,cd4 central memory
10.0,cd8 naive
12.0,unknown
14.0,cd4 naive
2.0,classical monocytes
16.0,cd4 effector memory
0.0,naive b cells
10.0,cd8 naive
20.0,cd4 naive
2.0,classical monocytes
7.0,late nks
14.0,cd4 naive
14.0,cd4 naive
16.0,cd4 effector memory
14.0,cd4 naive
16.0,cd4 central memory
0.0,naive b cells
11.0,unknown
15.0,cd4 central memory
15.0,cd4 central memory
16.0,cd4 effector memory
15.0,cd4 naive
10.0,cd8 naive
15.0,cd4 naive
3.0,non-classical monocytes
2.0,classical monocytes
15.0,cd4 central memory
6.0,early nks
10.0,cd8 naive
16.0,cd4 naive
14.0,cd4 naive
7.0,late nks
0.0,naive b cells
7.0,early nks
18.0,cd4- mait/nkt
17.0,cd4 terminal memory
16.0,cd4 terminal memory
14.0,cd4 naive
14.0,cd4 naive
7.0,late nks
16.0,cd4 effector memory
15.0,cd4 naive
14.0,cd4 naive
20.0,unknown
20.0,cd4-cd8-gd t cells
0.0,naive b cells
20.0,cd4 terminal memory
10.0,cd8 naive
14.0,cd4 naive
16.0,cd4 effector memory
7.0,late nks
7.0,late nks
18.0,cd4- mait/nkt
16.0,cd4 central memory
15.0,cd4 central memory
12.0,cd8 central memory
18.0,cd4- mait/nkt
14.0,cd4 naive
10.0,cd8 naive
6.0,early nks
10.0,cd8 naive
0.0,naive b cells
12.0,unknown
0.0,naive b cells
0.0,naive b cells
17.0,cd4 terminal memory
16.0,cd4 central memory
14.0,cd4 naive
0.0,naive b cells
12.0,cd8 effector memory
15.0,cd4 central memory
7.0,late nks
4.0,non-classical monocytes
7.0,late nks
