,predicted
20,20
4,4
11,11
4,4
17,17
13,13
1,1
16,17
0,14
0,14
15,15
3,3
18,18
11,11
11,11
13,19
19,19
19,19
15,15
19,19
11,11
3,3
17,17
17,17
3,3
4,4
17,17
8,8
0,8
0,11
17,17
18,18
1,1
18,18
3,3
12,12
0,17
14,14
7,7
15,15
17,17
8,8
4,4
8,8
15,15
3,3
1,1
20,20
15,15
16,17
3,3
5,5
8,8
18,18
15,15
15,15
14,14
19,19
16,16
3,3
1,1
8,8
15,15
1,1
15,15
19,19
17,17
3,3
8,8
20,20
15,15
3,3
15,15
18,18
18,18
19,14
15,15
15,15
4,4
11,11
19,19
16,16
20,20
17,17
15,15
8,8
20,20
15,15
3,3
15,15
5,5
18,18
3,3
19,19
17,17
8,8
17,17
15,15
17,17
13,13
3,3
11,11
0,20
15,15
11,11
19,19
0,7
15,16
1,1
8,8
1,1
3,3
15,15
0,20
15,15
0,15
3,3
4,4
15,15
5,5
19,19
3,3
3,3
8,8
15,15
16,16
16,16
10,10
0,14
17,17
3,3
7,7
18,18
10,10
11,11
11,11
17,17
19,19
14,14
3,3
11,11
20,20
0,20
7,8
3,3
1,1
10,10
8,7
2,1
18,18
11,11
18,18
8,8
3,3
16,16
7,7
11,11
16,16
8,8
0,20
17,17
15,15
3,3
15,15
11,11
19,13
3,3
3,3
17,17
3,3
3,3
18,18
16,16
3,3
1,1
11,11
15,15
0,8
0,15
15,15
17,17
1,1
4,4
17,17
11,11
15,15
8,8
17,17
3,3
20,20
4,4
1,1
10,10
5,5
17,17
15,15
15,15
19,19
3,3
17,17
1,1
3,3
15,15
17,17
3,3
18,18
15,15
17,17
7,7
1,1
4,4
0,13
3,3
17,17
0,19
14,14
5,5
13,13
20,20
18,18
3,3
3,3
18,18
3,3
16,16
11,11
17,17
8,8
3,3
0,11
0,7
7,7
11,11
3,3
0,10
16,16
15,15
3,3
3,3
16,16
14,14
3,3
8,8
17,17
8,8
11,11
15,15
15,15
2,2
0,13
8,8
3,3
3,3
20,20
15,15
0,17
0,3
2,2
1,1
14,14
6,6
16,16
15,15
15,15
0,18
13,13
15,15
18,18
15,15
5,5
3,3
0,3
15,15
1,1
16,16
16,16
3,3
8,8
1,1
14,14
15,15
0,17
18,18
0,16
15,15
0,16
19,19
17,17
4,4
20,20
0,14
3,3
1,1
1,1
8,8
3,3
0,7
3,3
11,11
3,3
15,15
1,1
1,1
16,16
17,17
16,16
0,20
8,8
0,13
17,17
17,17
3,3
8,8
3,3
0,12
5,5
0,15
11,11
3,3
6,6
11,11
18,18
1,1
3,3
16,16
17,17
17,17
16,18
15,15
8,8
6,6
8,8
20,20
1,1
11,11
0,19
15,15
19,19
13,0
1,1
17,17
3,3
17,17
15,15
19,19
3,3
3,3
16,15
17,17
20,20
3,3
8,8
2,2
0,17
3,3
4,4
5,5
4,4
3,3
15,15
16,17
17,17
3,3
16,16
3,3
19,19
1,1
8,8
15,15
0,11
15,15
15,15
3,3
8,8
16,16
10,10
3,3
3,3
0,19
11,11
16,16
15,15
17,17
6,6
1,1
15,15
18,18
11,11
8,8
11,11
20,20
7,7
6,6
3,3
13,13
17,17
8,8
15,15
6,6
3,3
3,3
18,18
15,15
15,15
17,17
3,3
10,10
3,3
3,3
15,15
11,11
16,16
0,7
3,3
16,15
11,11
17,17
10,10
1,1
11,11
8,8
3,3
9,9
17,17
14,14
2,2
4,4
18,18
16,16
3,3
16,16
0,8
4,4
14,14
3,3
0,20
12,12
16,17
11,11
17,17
17,17
3,3
13,13
5,5
3,3
4,4
18,18
0,14
16,16
5,5
0,3
4,4
10,3
11,11
3,3
18,18
15,15
3,3
20,20
15,15
16,16
8,8
0,17
3,3
18,18
20,20
15,15
20,20
11,11
3,3
3,3
19,19
16,16
16,16
3,3
17,17
15,15
16,16
15,15
5,5
4,5
0,7
15,15
17,17
5,5
16,16
4,4
1,1
3,3
1,1
1,1
15,15
8,8
17,17
13,13
15,15
11,11
15,15
14,14
3,3
3,3
8,8
11,11
8,8
11,11
11,11
17,17
20,19
18,18
8,8
1,1
4,4
15,15
3,3
17,17
0,20
0,17
17,17
11,11
2,2
0,13
4,4
3,3
15,15
